0_topic,1_topic,2_topic,3_topic,4_topic,5_topic,6_topic,7_topic,8_topic,9_topic,10_topic,11_topic,12_topic,13_topic,14_topic,15_topic,16_topic,17_topic,18_topic,19_topic
0.00277777778677948,0.1496274636272949,0.0027777777931537124,0.0027777777783606133,0.002777777790887716,0.0027777777953610057,0.002777777790151289,0.002777777803279085,0.0027777778461634305,0.1317223637894861,0.37561431889873137,0.18601787604083714,0.002777777785684249,0.0027777778048093276,0.002777777800971183,0.0027777777846815293,0.0027777777930209583,0.11535131073125647,0.0027777777813121395,0.0027777777777781955
0.003846153961135127,0.003846153864121216,0.003846153864568382,0.003846153870594925,0.0038461538606596787,0.0038461538654093567,0.0038461538461550975,0.003846153848876145,0.8492812528473991,0.0038461539642290045,0.003846153861506875,0.003846153947708756,0.0038461538603179733,0.003846153963744599,0.0038461538467348074,0.003846153854382166,0.0038461538543545777,0.0038461539077515663,0.0038461538481241765,0.08148797726222662
0.028672081757330097,0.0011627907034723012,0.07515381629621574,0.03464807796436553,0.0011627906983400881,0.0011627907011684032,0.0011627906976753655,0.0011627907007962979,0.21076188732171716,0.001162790706574723,0.0011627907047387744,0.0011627907006560518,0.0011627907032904302,0.0011627907026997002,0.041301586171309364,0.0011627907074799502,0.5931834805937427,0.001162790725445641,0.0011627907049197778,0.0011627907380618338
0.0012500000546637386,0.00125000000767323,0.0012500000244904214,0.0012500000033052292,0.1855830765477895,0.0012500000060074671,0.0012500000033310883,0.0012500000210141932,0.36157530075712446,0.001250000009658625,0.27001334067655197,0.0012500000032280285,0.001250000002175161,0.0012500000032436983,0.16282828180748027,0.001250000002891958,0.0012500000149727388,0.001250000004244741,0.0012500000430065252,0.0012500000071469313
0.0018518518520126484,0.0018518518614567196,0.0018518519413198641,0.0018518518597308853,0.2711601948915333,0.0018518518752660858,0.0018518518518526104,0.0018518518518526104,0.06046844141596966,0.11612576012935952,0.16463862496064138,0.0018518518518526102,0.0018518518602542475,0.0018518518856455155,0.24919816502999928,0.0018518518544152756,0.0018518518597256109,0.001851851854737634,0.0018518518598678905,0.11248288745250674
0.0006329113926708753,0.0006329113932050679,0.0006329113967062473,0.0006329113943471988,0.07004800799531948,0.000632911406869358,0.0006329113924051121,0.0006329113934469967,0.0006329114002366689,0.0006329113951924963,0.0006329113969965672,0.0006329113944545029,0.0006329113965998581,0.0006329114016946137,0.000632911395355359,0.0006329113993617733,0.0006329113942964686,0.0006329113939908503,0.9185595868744455,0.0006329113924051121
0.0019230769257786136,0.0019230769371962689,0.0019230769834352164,0.0019230769249836618,0.0019230770206581428,0.11475497064934315,0.0019230769334231436,0.001923076923980119,0.5640538924560552,0.0019230769262616053,0.0019230769406328254,0.0019230769557685866,0.0019230769319267683,0.0019230769362482227,0.0019230769241355445,0.20433951328576763,0.08608239254064722,0.0019230769316597594,0.0019230769490201289,0.00192307692307813
0.001785714287719055,0.0017857142943184573,0.0017857143107514939,0.0017857143990295526,0.15646911856869808,0.001785714298732059,0.0017857142857156812,0.0017857142921735255,0.16112176389416813,0.0017857142944712851,0.13873928419289777,0.09821891920170203,0.001785714306185981,0.21495764388957891,0.0017857142961678237,0.001785714307155945,0.20549326998996487,0.0017857142989801604,0.0017857143051356896,0.001785714286453488
0.0007692307695018184,0.0007692307725005737,0.07482179552631948,0.0007692307729676243,0.0007692307902693641,0.0007692307757691232,0.0007692307692310375,0.0007692307726043438,0.0007692307837302682,0.0007692307845861109,0.0007692307735463882,0.0007692307703084671,0.4422988034650375,0.4698024778297298,0.0007692307761531401,0.0007692307769387396,0.0007692307736287413,0.0007692307772282416,0.000769230770551483,0.0007692307693977216
0.002272727273412128,0.0022727272760998817,0.0022727273305680937,0.0022727273142992372,0.0022727273067015947,0.002272727296120849,0.002272727272728798,0.0022727272874827234,0.37325289694684893,0.0022727272895035036,0.1173879415368153,0.002272727279561354,0.002272727295796404,0.142836717326014,0.002272727304706204,0.3301588074804717,0.002272727278987234,0.002272727352734432,0.002272727278418735,0.002272727272728798
