,Brand,Model_Info,Additional_Description,Locality,City,State,Price,state_mean,state_median,state_sum,brand_mean,brand_median,brand_sum,statePrice_median,statePrice_mean,statePrice_sum,text,Model_Infolen,Additional_Descriptionlen,char_count,word_count,word_density,noun_count,verb_count,adj_count,adv_count,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1, name0 name234 64gb space grey, 1yesr old mobile number 999two905two99 bill charger,878,8,2,15000,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, name0 name234 64gb space grey  1yesr old mobile number 999two905two99 bill charger,30,52,83,12,6.384615384615385,5,0,3,1,0.29965268998040756,0.002777777788296008,0.00277777777809452,0.0027777777777784297,0.0027777777959582224,0.002777777796614421,0.0027777777792742774,0.0027777779532612967,0.3991325489460819,0.0027777777777784297,0.0027777778070500092,0.00277777783548083,0.0027777777777784297,0.002777777794219472,0.002777777780398675,0.0027777777883526648,0.0027777777780635896,0.0027777777798548052,0.0027777777777784297,0.25399253850747794
1,1, name87 watch name251 3 38 mm gps name119 name183 name62 scratch, one 101009200 3 perfect working condition defects scratches 1010054700 box etc available,940,8,2,17000,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, name87 watch name251 3 38 mm gps name119 name183 name62 scratch  one 101009200 3 perfect working condition defects scratches 1010054700 box etc available,64,89,154,23,6.416666666666667,8,4,5,0,0.0019230769247458907,0.001923076947937156,0.0019230769577267427,0.001923076928122501,0.0019230769800970822,0.2873734683397652,0.0019230769279464798,0.0019230769592926754,0.5996803144512767,0.0019230769290902753,0.0019230769347101503,0.0019230769268595807,0.0019230769236540225,0.0019230769944697885,0.0019230769312317327,0.0019230769905765402,0.041792370749536685,0.0019230769313534277,0.04038461534311186,0.0019230769284956754
2,1, name74 drop name87 name0 name1150 32gb 18000 name42 name156 available name2792, 10100000 6s 16 gb storage around 2 yr old accessories 1010021400 damage 2 lines touch fully functioning damage display,78,8,2,18000,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, name74 drop name87 name0 name1150 32gb 18000 name42 name156 available name2792  10100000 6s 16 gb storage around 2 yr old accessories 1010021400 damage 2 lines touch fully functioning damage display,79,119,199,30,6.419354838709677,10,0,6,6,0.001612903245253719,0.0016129032548599224,0.0016129033202111794,0.0016129032310638653,0.07326452870625616,0.0016129032507666886,0.0016129032681832436,0.001612903237056027,0.4450349652054337,0.0016129032262828717,0.0016129032506563704,0.001612903234382854,0.0016129032258071895,0.28648231927412965,0.0016129032259499794,0.0016129032263404513,0.1694117349254913,0.0016129032351935514,0.0016129032258071893,0.0016129032308739278
3,1, iphone 6s space grey 32 gb, 101005400 phone 011,191,8,2,17500,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, iphone 6s space grey 32 gb  101005400 phone 011,27,20,48,9,4.8,5,0,0,0,0.003846153859352689,0.0038461538614980285,0.003846153862482477,0.0038461538461541963,0.003846153938033143,0.00384615386584279,0.0038461538471354383,0.003846153874644595,0.003846153934064233,0.0038461538461541963,0.32140020530664176,0.0038461538739927655,0.0038461538461541963,0.13447330565644414,0.0038461538461541963,0.08542837983280324,0.0038461538969064945,0.003846153850085431,0.0038461538461541963,0.39715964730930187
4,1, iphone 6 hai mast hai mere ko pesse ki jarurat hai liye bhech rha hu, vivo brand,953,8,2,13000,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, iphone 6 hai mast hai mere ko pesse ki jarurat hai liye bhech rha hu  vivo brand,69,11,81,17,4.5,15,0,1,0,0.0055555555555601745,0.0055555555884489564,0.005555555559799607,0.0055555555555601745,0.12137703670762982,0.005555555578207209,0.005555555557844924,0.005555555580439435,0.13363131256833344,0.005555555555560175,0.005555555656351577,0.005555555577973866,0.005555555555560175,0.005555555573917818,0.005555555570787733,0.005555556238519906,0.005555555559326828,0.005555555558829276,0.005555555555560175,0.6505472053457888
5,1, name54 iphone 2 months old full original accesiories, 1010014700 perfect box charger one time screen replaced,679,8,2,27999,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, name54 iphone 2 months old full original accesiories  1010014700 perfect box charger one time screen replaced,53,56,110,16,6.470588235294118,6,1,4,2,0.0026315789476404603,0.0026315789489271026,0.0026315789473689956,0.0026315789473689956,0.002631578956134322,0.002631578964732949,0.0026315789479656442,0.00263157896189078,0.6835780838307611,0.0026315789938345015,0.26905349494223574,0.002631578951595373,0.0026315789776110918,0.0026315789587398977,0.0026315789555821927,0.0026315789473689956,0.0026315789717539493,0.0026315789480198843,0.002631578948885956,0.0026315789515818796
6,1, phone x good condition, 1010052600 packed 2 months old warranty bill,969,8,2,45000,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, phone x good condition  1010052600 packed 2 months old warranty bill,23,45,69,11,5.75,4,1,2,0,0.0033333333403451925,0.0033333333516578825,0.0033333333387919905,0.0033333333333345695,0.0808987398696628,0.003333333352194279,0.0033333333336977304,0.1590396349434961,0.6325196190811859,0.0033333333333345695,0.003333333382934776,0.0033333333333345695,0.0033333333333345695,0.0033333334041520386,0.003333333336768057,0.07420867254290105,0.003333333336612269,0.003333333339585908,0.003333333336656623,0.0033333333760192244
7,1, phone xs 256 gb gold 1 month old bill box accesory, brand 101005400 excellent best quality,939,8,2,76000,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, phone xs 256 gb gold 1 month old bill box accesory  brand 101005400 excellent best quality,51,39,91,16,5.352941176470588,6,2,4,1,0.002000000004358299,0.002000000013094524,0.002000000012556315,0.002000000000000576,0.002000000000474536,0.002000000009999455,0.00200000000106196,0.0020000001407578013,0.14830727023338278,0.002000000028623903,0.596056217784036,0.002000000000000576,0.002000000001179697,0.0020000000230659784,0.0020000000086709702,0.0020000000960438613,0.10362444640139079,0.002000000028797397,0.002000000000000576,0.12001206521250411
8,1, apply phone, 7 days old 10100197400 1010014000 earphone 101008900 101006100,396,8,2,15999,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, apply phone  7 days old 10100197400 1010014000 earphone 101008900 101006100,12,63,76,10,6.909090909090909,3,1,1,0,0.005555555578666768,0.005555555555556357,0.0055555555949104015,0.005555555555556357,0.005555555585405102,0.005555555636495142,0.005555555555556357,0.005555555600982074,0.32684819533748843,0.005555555580693458,0.3070767372031595,0.005555555555556357,0.005555555555556357,0.005555555555556359,0.005555555555556357,0.005555555555556357,0.005555555585568312,0.27163062263670096,0.005555555555556357,0.005555555659922669
9,1, iphone name112 32gb name54 name120 name115 option cod name2594, phone 7 256 gb 1010016400 condition 15 years old,251,8,2,14900,25613.621212121205,18000.0,6761996,27553.595887135343,20000,57614569,20000,28035.884615384613,6560397, iphone name112 32gb name54 name120 name115 option cod name2594  phone 7 256 gb 1010016400 condition 15 years old,63,49,113,18,5.947368421052632,9,0,2,0,0.0016129032361682147,0.0016129032289414285,0.0016129032292689688,0.0016129032258069462,0.0016129032446243433,0.0016129032316127788,0.0016129032259264405,0.0016129032397278619,0.0016129032580416078,0.0016129032258069462,0.9693548385880748,0.0016129032269791993,0.0016129032258069462,0.0016129032332111676,0.0016129032268093935,0.0016129032258069462,0.0016129032324628258,0.0016129032298099419,0.0016129032258069462,0.0016129032393063345
